File;Result;Init Time;Solve Time;Propagations;Decisions
594.cnf;SAT;0.00016700000000000048;0.00032400000000000484;90;17
580.cnf;SAT;0.00015799999999999148;0.00033900000000000596;100;11
219.cnf;SAT;0.00013699999999999823;0.0003010000000000096;91;12
231.cnf;SAT;0.00013699999999999823;0.00010000000000000286;23;4
557.cnf;SAT;0.0001340000000000091;0.00011300000000000199;27;6
543.cnf;SAT;0.0002500000000000002;0.0002319999999999961;72;9
225.cnf;SAT;0.00013499999999999623;0.00027500000000001135;84;15
972.cnf;SAT;0.00012999999999999123;0.00022400000000000198;59;11
966.cnf;SAT;0.00014700000000000824;0.0003999999999999976;132;17
796.cnf;SAT;0.00011700000000000599;0.0004769999999999913;165;19
782.cnf;SAT;0.00013900000000000023;0.00021299999999999097;65;12
769.cnf;SAT;0.00013599999999999723;0.0004619999999999902;145;13
755.cnf;SAT;0.00023899999999998922;0.00010400000000000686;24;6
999.cnf;SAT;0.00017000000000000348;8.500000000000174e-05;12;8
741.cnf;SAT;0.0001250000000000001;0.00017100000000000448;45;10
806.cnf;SAT;0.00012099999999999611;0.00014600000000000724;32;10
46.cnf;SAT;0.00011800000000000699;8.299999999999974e-05;17;9
0.cnf;SAT;0.00013799999999999923;0.00026199999999999835;75;11
812.cnf;SAT;0.00016099999999999448;8.800000000000474e-05;20;7
52.cnf;SAT;0.00026299999999999935;8.900000000000574e-05;19;8
184.cnf;SAT;0.00013799999999999923;0.00015400000000000136;39;6
190.cnf;SAT;0.0001320000000000071;0.0004799999999999943;158;20
85.cnf;SAT;0.0001290000000000041;0.00016800000000000148;43;7
91.cnf;SAT;0.00012100000000000999;0.0001250000000000001;32;9
609.cnf;SAT;0.00011799999999999311;0.00017100000000000448;43;12
621.cnf;SAT;0.00013900000000000023;0.0001239999999999991;26;4
147.cnf;SAT;0.00027699999999999947;7.400000000000462e-05;17;3
153.cnf;SAT;0.00011700000000000599;0.00010499999999999399;28;6
635.cnf;SAT;0.00011499999999999011;0.00039400000000000546;134;14
386.cnf;SAT;0.00012199999999999711;0.00020699999999999885;54;15
392.cnf;SAT;0.0001229999999999981;0.00015999999999999348;47;7
379.cnf;SAT;0.00012899999999999023;0.00039500000000000646;124;16
345.cnf;SAT;0.0001360000000000111;7.699999999999374e-05;17;3
423.cnf;SAT;0.00026700000000000335;0.00019700000000000273;62;8
437.cnf;SAT;0.00013799999999999923;7.999999999999674e-05;14;6
351.cnf;SAT;0.00013799999999999923;0.00027200000000000835;81;11
436.cnf;SAT;0.00012199999999999711;0.00023200000000000998;65;9
350.cnf;SAT;0.00011099999999999999;0.00043600000000000583;139;20
344.cnf;SAT;0.00011799999999999311;0.0002479999999999982;69;7
422.cnf;SAT;0.0001260000000000011;0.00031699999999999784;96;17
378.cnf;SAT;0.00026900000000000535;0.00014100000000000223;36;7
393.cnf;SAT;0.00014100000000000223;0.00028100000000000347;76;8
387.cnf;SAT;0.00013799999999999923;0.0003959999999999936;132;16
152.cnf;SAT;0.0001260000000000011;9.099999999999386e-05;21;7
634.cnf;SAT;0.00012199999999999711;0.00015800000000000536;41;12
620.cnf;SAT;0.0001320000000000071;7.599999999999274e-05;17;3
146.cnf;SAT;0.00012200000000001099;0.00029000000000001247;93;11
608.cnf;SAT;0.00026999999999999247;0.0001810000000000006;48;7
90.cnf;SAT;0.00013399999999999523;0.0006720000000000059;255;33
84.cnf;SAT;0.0001250000000000001;0.00014499999999999236;35;6
191.cnf;SAT;0.00013199999999999323;0.00026400000000000035;88;12
185.cnf;SAT;0.0001229999999999981;7.700000000000762e-05;12;8
1.cnf;SAT;0.0001300000000000051;0.00010299999999999199;24;5
53.cnf;SAT;0.0001260000000000011;0.0003599999999999992;130;14
813.cnf;SAT;0.00026400000000000035;0.00021600000000000785;70;10
47.cnf;SAT;0.0001239999999999991;7.700000000000762e-05;16;4
807.cnf;SAT;0.00013299999999999423;0.0003640000000000032;126;13
740.cnf;SAT;0.00013699999999999823;0.0004870000000000013;152;15
998.cnf;SAT;0.00011400000000000299;0.00032499999999999196;99;15
754.cnf;SAT;0.0001330000000000081;0.00020799999999999985;52;10
768.cnf;SAT;0.0001229999999999981;0.00017300000000000648;54;11
783.cnf;SAT;0.00028300000000000547;0.00016099999999999448;46;7
797.cnf;SAT;0.0001330000000000081;0.00011699999999999211;30;4
967.cnf;SAT;0.00016299999999999648;0.00027599999999999847;78;12
973.cnf;SAT;0.00014400000000000523;0.0003539999999999932;123;17
542.cnf;SAT;0.00015400000000000136;0.0002400000000000041;64;8
224.cnf;SAT;0.00014199999999998936;7.800000000000862e-05;15;5
230.cnf;SAT;0.00015400000000000136;0.00010499999999999399;21;8
556.cnf;SAT;0.0002560000000000062;0.00014399999999999136;37;9
218.cnf;SAT;0.0001239999999999991;0.00011999999999999511;29;6
581.cnf;SAT;0.00013399999999999523;0.00033299999999999996;107;11
595.cnf;SAT;0.00012000000000000899;0.00011699999999999211;31;7
583.cnf;SAT;0.00013099999999999223;0.0002459999999999962;79;11
597.cnf;SAT;0.0001250000000000001;0.00010699999999999599;24;6
568.cnf;SAT;0.00011700000000000599;8.600000000000274e-05;24;4
226.cnf;SAT;0.0002370000000000011;0.00037900000000000433;124;16
540.cnf;SAT;0.00011500000000000399;7.599999999999274e-05;15;5
554.cnf;SAT;0.00011999999999999511;0.00021899999999999697;56;8
232.cnf;SAT;0.00010900000000001187;7.100000000000162e-05;16;4
965.cnf;SAT;0.00011499999999999011;0.00014800000000000924;40;10
971.cnf;SAT;0.00012199999999999711;0.0003049999999999997;103;12
781.cnf;SAT;0.00013299999999999423;0.0001260000000000011;31;7
959.cnf;SAT;0.0002560000000000062;0.00011699999999999211;33;6
795.cnf;SAT;0.00011599999999999111;0.0001290000000000041;32;8
742.cnf;SAT;0.0001290000000000041;7.599999999999274e-05;13;7
756.cnf;SAT;0.00011399999999998911;0.0001320000000000071;40;7
811.cnf;SAT;0.00011800000000000699;0.0002370000000000011;70;10
51.cnf;SAT;0.0001250000000000001;0.00015600000000000336;35;9
3.cnf;SAT;0.00011900000000000799;0.0002979999999999927;98;14
805.cnf;SAT;0.0002550000000000052;0.0004089999999999927;131;19
45.cnf;SAT;0.00013699999999999823;0.00015400000000000136;40;11
193.cnf;SAT;0.0001229999999999981;0.00010999999999999899;20;8
187.cnf;SAT;0.00011400000000000299;0.0001669999999999866;51;9
839.cnf;SAT;0.00011099999999999999;0.00025599999999999234;77;11
79.cnf;SAT;0.00013299999999999423;0.00015999999999999348;37;10
92.cnf;SAT;0.00013099999999999223;0.0004170000000000007;143;21
178.cnf;SAT;0.00027199999999999447;0.00021400000000000585;55;11
86.cnf;SAT;0.00011500000000000399;0.00043500000000000483;137;17
636.cnf;SAT;0.0001300000000000051;0.00027000000000000635;91;13
150.cnf;SAT;0.00010999999999999899;0.00038400000000000933;122;17
144.cnf;SAT;0.00012199999999999711;0.0005190000000000056;160;17
622.cnf;SAT;0.00011200000000000099;0.00010400000000000686;26;7
391.cnf;SAT;0.0001270000000000021;0.00025999999999999635;73;14
385.cnf;SAT;0.00024999999999998634;0.00010900000000001187;26;9
408.cnf;SAT;0.00011300000000000199;0.0008039999999999992;280;30
352.cnf;SAT;0.0001229999999999981;0.00027300000000000935;71;12
434.cnf;SAT;0.00011600000000000499;0.0004259999999999958;143;16
420.cnf;SAT;0.00011200000000000099;0.0002489999999999992;83;11
346.cnf;SAT;0.00011099999999999999;0.0003470000000000001;98;14
421.cnf;SAT;0.0001239999999999991;0.0002329999999999971;62;12
347.cnf;SAT;0.0002360000000000001;0.0001930000000000126;49;11
353.cnf;SAT;0.00011400000000000299;8.400000000000074e-05;16;8
435.cnf;SAT;0.00010899999999999799;0.00027599999999999847;93;10
409.cnf;SAT;0.00010899999999999799;8.199999999999874e-05;13;7
384.cnf;SAT;0.00011600000000000499;0.0004269999999999968;141;21
390.cnf;SAT;0.00011399999999998911;8.500000000000174e-05;18;6
145.cnf;SAT;0.00011099999999999999;0.00016299999999999648;49;12
623.cnf;SAT;0.0002430000000000071;0.00022300000000000098;62;15
637.cnf;SAT;0.00011200000000000099;0.00020699999999999885;67;8
151.cnf;SAT;0.00010900000000001187;0.00020900000000000085;57;12
179.cnf;SAT;0.00010899999999999799;8.199999999999874e-05;14;9
87.cnf;SAT;0.00011399999999998911;0.00032700000000000784;109;11
93.cnf;SAT;0.00011099999999999999;0.0003039999999999987;97;12
186.cnf;SAT;0.00011400000000000299;0.00014299999999999036;40;6
78.cnf;SAT;0.0002459999999999962;0.00026500000000000135;76;13
