File;Result;Init Time;Solve Time;Propagations;Decisions
594.cnf;UNSAT;0.00027199999999999447;0.0052410000000000095;2120;125
580.cnf;UNSAT;0.00031499999999999584;0.0041090000000000015;1577;88
219.cnf;UNSAT;0.00026500000000000135;0.0035610000000000086;1340;81
231.cnf;UNSAT;0.00024099999999999122;0.004893999999999996;1912;110
557.cnf;UNSAT;0.0003389999999999921;0.008473000000000008;3392;195
543.cnf;UNSAT;0.0002420000000000061;0.008867;3583;233
225.cnf;UNSAT;0.00025499999999999134;0.007126000000000007;2810;174
972.cnf;UNSAT;0.00031699999999999784;0.006308000000000008;2574;161
966.cnf;UNSAT;0.00024299999999999322;0.0037429999999999963;1424;89
796.cnf;UNSAT;0.00026199999999998447;0.002708000000000016;1015;64
782.cnf;UNSAT;0.00033400000000000096;0.005864000000000008;2292;150
769.cnf;UNSAT;0.00024399999999999422;0.004681999999999992;1910;126
755.cnf;UNSAT;0.00025399999999997647;0.00806800000000002;2976;176
999.cnf;UNSAT;0.00033500000000000196;0.0037870000000000126;1444;102
741.cnf;UNSAT;0.00023700000000001498;0.00709499999999999;2765;166
806.cnf;UNSAT;0.0003029999999999977;0.005418000000000006;2102;131
46.cnf;UNSAT;0.0003579999999999972;0.005469000000000002;2124;126
0.cnf;UNSAT;0.00025599999999997847;0.005789000000000016;2136;118
812.cnf;UNSAT;0.00026799999999999047;0.006401000000000018;2278;139
52.cnf;UNSAT;0.00035200000000001896;0.004569999999999991;1699;103
184.cnf;UNSAT;0.0002600000000000102;0.0028809999999999947;1040;63
190.cnf;UNSAT;0.00028000000000000247;0.005518999999999996;2074;124
85.cnf;UNSAT;0.0003210000000000157;0.0043310000000000015;1624;103
91.cnf;UNSAT;0.0002710000000000212;0.006546999999999997;2438;155
609.cnf;UNSAT;0.0002680000000000182;0.00479099999999999;1889;110
621.cnf;UNSAT;0.00035100000000001796;0.0068899999999999795;2737;154
147.cnf;UNSAT;0.00026299999999998547;0.006184000000000023;2413;146
153.cnf;UNSAT;0.0002640000000000142;0.004682999999999993;1795;101
635.cnf;UNSAT;0.00033600000000000296;0.0032270000000000076;1265;81
386.cnf;UNSAT;0.00025699999999997947;0.003030000000000005;1188;83
392.cnf;UNSAT;0.0002600000000000102;0.007888000000000006;2970;176
379.cnf;UNSAT;0.00036600000000003297;0.01046600000000003;3753;221
345.cnf;UNSAT;0.0004350000000000187;0.008004999999999984;2780;154
423.cnf;UNSAT;0.00034400000000001096;0.004141999999999979;1540;104
437.cnf;UNSAT;0.0004430000000000267;0.008218999999999976;2941;185
351.cnf;UNSAT;0.00040199999999995795;0.0035379999999999856;1304;80
436.cnf;UNSAT;0.0003689999999999527;0.0030930000000000124;1111;66
350.cnf;UNSAT;0.00030399999999997096;0.0039839999999999876;752;46
344.cnf;UNSAT;0.00031199999999997896;0.0047579999999999845;1133;68
422.cnf;UNSAT;0.0003870000000000262;0.0020660000000000123;727;58
378.cnf;UNSAT;0.0002829999999999777;0.006189999999999973;2265;137
393.cnf;UNSAT;0.00037200000000003897;0.004400000000000015;1540;87
387.cnf;UNSAT;0.00045600000000001195;0.005294999999999994;1860;109
152.cnf;UNSAT;0.0003049999999999997;0.004282000000000008;1541;102
