File;Result;Init Time;Solve Time;Propagations;Decisions
flat200-5.cnf;TIMEOUT;0.0020770000000000094;10.001016;N/A;N/A
flat200-10.cnf;SAT;0.0022729999999988593;0.07677400000000034;36886;363
flat200-38.cnf;SAT;0.002235000000000653;0.5042709999999992;246563;2195
flat200-39.cnf;SAT;0.002268000000000825;2.1021900000000002;1033970;8263
flat200-11.cnf;SAT;0.00231899999999996;1.258788000000001;618092;5398
flat200-4.cnf;SAT;0.0022969999999986612;0.33368100000000034;162410;1311
flat200-6.cnf;SAT;0.00258199999999853;3.2079000000000004;1566173;13148
flat200-13.cnf;SAT;0.003228999999997484;2.1009150000000005;1019326;8304
flat200-12.cnf;SAT;0.0022729999999988593;0.6751740000000019;330797;2906
flat200-7.cnf;SAT;0.0023769999999991853;2.940684000000001;1444749;11104
flat200-3.cnf;SAT;0.002373999999999654;2.5629890000000017;1258222;10456
flat200-16.cnf;SAT;0.00229399999999913;0.7436019999999992;359703;3003
flat200-17.cnf;TIMEOUT;0.0022809999999999775;10.000314;N/A;N/A
flat200-2.cnf;SAT;0.003154999999999575;0.7399079999999998;361651;3065
flat200-29.cnf;SAT;0.0033979999999971255;0.061421000000002834;29288;277
flat200-15.cnf;SAT;0.003198999999995067;2.1524519999999967;1049985;8835
flat200-14.cnf;SAT;0.003309999999999036;0.00928800000000507;3963;73
flat200-28.cnf;SAT;0.0038229999999970232;0.5201980000000006;256220;2326
flat200-1.cnf;SAT;0.002645999999998594;0.16814199999999602;82121;671
flat200-98.cnf;SAT;0.0029290000000017358;2.4939249999999973;1211667;10262
flat200-67.cnf;SAT;0.0023249999999990223;3.184916000000001;1548984;12901
flat200-73.cnf;SAT;0.002367999999997039;0.5752779999999973;279395;2458
flat200-72.cnf;SAT;0.002375000000000682;0.6840460000000022;334722;2823
flat200-66.cnf;SAT;0.003109000000002027;0.15546899999999653;74884;674
flat200-99.cnf;SAT;0.0034939999999963334;1.760657000000002;859793;6878
flat200-70.cnf;SAT;0.004205999999996379;0.2949029999999979;142650;1208
flat200-64.cnf;SAT;0.0033600000000006958;1.4643620000000013;725286;6020
flat200-58.cnf;SAT;0.004050999999996918;2.9297749999999994;1423946;11411
flat200-59.cnf;TIMEOUT;0.0033030000000024984;10.001722000000001;N/A;N/A
flat200-65.cnf;SAT;0.0034070000000028244;0.7318299999999951;361266;2866
flat200-71.cnf;SAT;0.003993999999991615;0.3305160000000029;159741;1365
flat200-49.cnf;SAT;0.0034330000000011296;0.032415000000000305;15322;152
flat200-75.cnf;SAT;0.0037780000000111613;0.012540999999998803;5484;96
flat200-61.cnf;SAT;0.0021890000000013288;2.959907000000001;1424334;12090
flat200-60.cnf;SAT;0.0023859999999871206;0.25544299999999964;124789;1155
flat200-74.cnf;TIMEOUT;0.002329000000003134;10.003876999999989;N/A;N/A
flat200-48.cnf;SAT;0.0023269999999939728;0.553167000000002;271891;2313
flat200-89.cnf;TIMEOUT;0.002375000000000682;9.999950999999996;N/A;N/A
flat200-62.cnf;SAT;0.004007000000001426;1.631245000000007;802431;6681
flat200-76.cnf;SAT;0.004761999999999489;1.5716850000000022;756441;6203
flat200-77.cnf;SAT;0.0033119999999939864;1.9901519999999948;955963;7875
flat200-63.cnf;TIMEOUT;0.004252000000008138;9.799594999999997;N/A;N/A
flat200-88.cnf;SAT;0.004621000000000208;0.43410199999999577;206881;1745
flat200-85.cnf;SAT;0.004344000000003234;0.020127000000002226;9119;103
flat200-91.cnf;SAT;0.0032440000000093505;1.660268000000002;808009;7224
flat200-46.cnf;SAT;0.0046399999999948704;0.38795100000000105;191496;1693
flat200-52.cnf;SAT;0.004936999999998193;2.740919000000005;1346345;10612
flat200-53.cnf;SAT;0.002366000000009194;0.21157699999999124;103991;934
flat200-47.cnf;SAT;0.0024410000000045784;2.5720539999999943;1266692;10415
flat200-90.cnf;SAT;0.002465999999998303;0.23797000000000423;116095;1043
flat200-84.cnf;SAT;0.0023860000000013315;1.5171390000000002;737037;5803
flat200-92.cnf;SAT;0.0032099999999957163;0.5708440000000081;253851;2172
flat200-86.cnf;SAT;0.0042210000000011405;0.10290399999999522;48101;431
flat200-51.cnf;SAT;0.004143999999996595;0.6550890000000038;324279;2681
flat200-45.cnf;SAT;0.004387999999991621;3.533405000000002;1719121;13590
flat200-79.cnf;SAT;0.003605000000007408;0.9706939999999946;468046;3932
flat200-78.cnf;TIMEOUT;0.004753999999991265;9.824135000000012;N/A;N/A
flat200-44.cnf;SAT;0.00567799999998897;1.022784999999999;503789;4341
flat200-50.cnf;SAT;0.005966999999998279;2.0023260000000107;973652;8370
flat200-87.cnf;TIMEOUT;0.0035530000000107975;9.999463999999989;N/A;N/A
flat200-93.cnf;SAT;0.004345999999998185;0.21419099999999958;105094;916
flat200-97.cnf;SAT;0.00394099999999753;1.3788139999999771;669800;5587
flat200-83.cnf;SAT;0.0025519999999801257;0.22188900000000444;107491;961
flat200-68.cnf;SAT;0.002704999999991742;0.036520999999993364;16625;206
flat200-54.cnf;SAT;0.0024079999999742085;0.0489679999999737;23615;242
flat200-40.cnf;SAT;0.004074000000002798;0.2660889999999938;130331;1196
flat200-41.cnf;SAT;0.0044560000000046784;0.29494500000001267;143418;1240
flat200-55.cnf;SAT;0.0036169999999913216;1.8823100000000181;911157;6974
flat200-69.cnf;SAT;0.004483999999990829;1.2393370000000061;598875;4819
flat200-82.cnf;SAT;0.003338000000013608;2.0164999999999793;991033;7909
flat200-96.cnf;SAT;0.004647000000005619;0.19447999999999865;92896;805
flat200-80.cnf;SAT;0.0036949999999933425;1.9673109999999951;953305;7797
flat200-94.cnf;SAT;0.004489000000006627;0.8550559999999905;410785;3458
flat200-43.cnf;TIMEOUT;0.003647000000000844;10.001967000000008;N/A;N/A
flat200-57.cnf;SAT;0.0034090000000048803;1.237228999999985;596399;5053
flat200-56.cnf;SAT;0.004179999999990969;2.941687999999999;1433184;11906
flat200-42.cnf;SAT;0.002472000000011576;0.8145430000000147;400506;3678
flat200-95.cnf;SAT;0.0023580000000151813;0.07011499999998705;33793;322
flat200-81.cnf;SAT;0.0024219999999957054;3.116972000000004;1507514;12172
flat200-25.cnf;SAT;0.002511999999995851;1.7891520000000014;866457;7070
flat200-31.cnf;SAT;0.004187999999999192;0.10806500000001051;52489;443
flat200-19.cnf;SAT;0.003519000000011374;2.957515000000001;1454554;12612
flat200-18.cnf;SAT;0.004424999999997681;0.9238229999999987;459140;3939
flat200-30.cnf;SAT;0.003516999999988002;1.5950149999999894;786395;6561
flat200-24.cnf;SAT;0.00424499999999739;0.9857749999999896;484663;4212
flat200-32.cnf;SAT;0.0035570000000006985;0.8922559999999748;434864;3785
flat200-26.cnf;TIMEOUT;0.004110999999994647;10.004858000000013;N/A;N/A
flat200-27.cnf;SAT;0.003735000000006039;0.6629739999999913;315607;2654
flat200-33.cnf;SAT;0.00437299999998686;1.4535449999999912;708432;5887
flat200-100.cnf;SAT;0.0038429999999891606;1.879066999999992;916621;7803
flat200-37.cnf;SAT;0.0024290000000064538;0.32685599999999226;160873;1436
flat200-23.cnf;SAT;0.0022940000000062355;1.503733000000011;739196;6373
flat200-22.cnf;SAT;0.0023870000000272285;0.7841939999999852;382235;3419
flat200-36.cnf;TIMEOUT;0.0024999999999977263;10.003816;N/A;N/A
flat200-9.cnf;SAT;0.0032149999999830925;2.1824290000000133;1079330;8921
flat200-20.cnf;SAT;0.0038189999999929114;0.04654999999999632;22714;250
flat200-34.cnf;TIMEOUT;0.004043999999993275;10.00000399999999;N/A;N/A
flat200-35.cnf;SAT;0.004216999999982818;0.32273399999999697;161807;1471
flat200-21.cnf;SAT;0.0036580000000014934;0.8637429999999995;427594;3753
flat200-8.cnf;SAT;0.004322000000001935;0.13670600000000377;66253;596
