File;Result;Init Time;Solve Time;Propagations;Decisions
flat30-55.cnf;SAT;0.00032800000000000884;0.0002299999999999941;73;17
flat30-41.cnf;SAT;0.00028200000000000447;0.00022600000000000398;76;14
flat30-40.cnf;SAT;0.0003389999999999921;0.0002370000000000011;77;13
flat30-54.cnf;SAT;0.00032299999999998996;0.00022700000000000498;74;16
flat30-2.cnf;SAT;0.00027800000000000047;0.0002349999999999991;77;13
flat30-68.cnf;SAT;0.0002979999999999927;0.00022199999999999998;75;15
flat30-83.cnf;SAT;0.0002829999999999916;0.0002420000000000061;76;14
flat30-97.cnf;SAT;0.00031599999999999684;0.00022700000000000498;77;13
flat30-33.cnf;SAT;0.0003019999999999967;0.0002530000000000032;75;15
flat30-27.cnf;SAT;0.00032999999999999696;0.0002440000000000081;74;16
flat30-26.cnf;SAT;0.00025999999999999635;0.0002420000000000061;76;14
flat30-32.cnf;SAT;0.00037199999999999733;0.0002500000000000002;77;13
flat30-24.cnf;SAT;0.0003480000000000011;0.00023899999999998922;77;13
flat30-30.cnf;SAT;0.0002809999999999896;0.0002440000000000081;74;16
flat30-18.cnf;SAT;0.00032100000000000184;0.0002390000000000031;75;15
flat30-19.cnf;SAT;0.00028300000000000547;0.00023799999999998822;75;15
flat30-31.cnf;SAT;0.00032000000000000084;0.00024399999999999422;73;17
flat30-25.cnf;SAT;0.00028500000000000747;0.0002449999999999952;74;16
flat30-21.cnf;SAT;0.0005959999999999993;0.00022900000000000698;76;14
flat30-35.cnf;SAT;0.0002980000000000066;0.00025399999999999034;75;15
flat30-34.cnf;SAT;0.0011150000000000049;0.0002489999999999992;76;14
flat30-20.cnf;SAT;0.00037700000000000233;0.00023999999999999022;74;16
flat30-36.cnf;SAT;0.00028700000000000947;0.0002450000000000091;74;16
flat30-22.cnf;SAT;0.00033299999999999996;0.0002400000000000041;77;13
flat30-23.cnf;SAT;0.00028700000000000947;0.0002500000000000002;74;16
flat30-37.cnf;SAT;0.00033299999999999996;0.00023999999999999022;76;14
flat30-12.cnf;SAT;0.0002839999999999926;0.0002370000000000011;77;13
flat30-13.cnf;SAT;0.00034200000000000896;0.0002360000000000001;77;13
flat30-11.cnf;SAT;0.0003399999999999931;0.0002349999999999991;77;13
flat30-39.cnf;SAT;0.00028000000000000247;0.00022600000000000398;73;17
flat30-38.cnf;SAT;0.0002929999999999877;0.0002420000000000061;75;15
flat30-10.cnf;SAT;0.00028600000000000847;0.0002269999999999911;75;15
flat30-28.cnf;SAT;0.0002989999999999937;0.0002360000000000001;72;18
flat30-14.cnf;SAT;0.00028700000000000947;0.00023899999999998922;76;14
flat30-15.cnf;SAT;0.00033500000000000196;0.00023899999999998922;75;15
flat30-29.cnf;SAT;0.00026299999999999935;0.00022099999999999898;76;14
flat30-100.cnf;SAT;0.00031699999999999784;0.00021999999999999797;79;11
flat30-17.cnf;SAT;0.00031799999999999884;0.00021799999999999597;77;13
flat30-16.cnf;SAT;0.00027100000000000735;0.0002259999999999901;74;16
flat30-71.cnf;SAT;0.0002930000000000016;0.00022099999999999898;76;14
flat30-65.cnf;SAT;0.00026199999999999835;0.00022500000000000298;73;17
flat30-59.cnf;SAT;0.0002990000000000076;0.00022300000000000098;75;15
flat30-58.cnf;SAT;0.0002920000000000006;0.0002489999999999992;72;18
